uf,municipality,ibge_code,year,arena_votes,mdb_votes,blank_votes,null_votes,total_votes,electorate,appointed_mayor
RO,Guajará-Mirim,1100106,1976,NA,NA,NA,NA,NA,8527,1
RO,Porto Velho,1100205,1976,NA,NA,NA,NA,NA,46164,1
AC,Assis Brasil,1200054,1976,NA,NA,NA,NA,NA,243,1
AC,Brasiléia,1200104,1976,NA,NA,NA,NA,NA,3906,1
AC,Cruzeiro do Sul,1200203,1976,NA,NA,NA,NA,NA,10804,1
AC,Feijó,1200302,1976,NA,NA,NA,NA,NA,3890,1
AC,Mâncio Lima,1200336,1976,NA,NA,NA,NA,NA,1280,1
AC,Manoel Urbano,1200344,1976,NA,NA,NA,NA,NA,1056,1
AC,Plácido de Castro,1200385,1976,NA,NA,NA,NA,NA,896,1
AC,Rio Branco,1200401,1976,NA,NA,NA,NA,NA,37043,1
AC,Senador Guiomard,1200450,1976,NA,NA,NA,NA,NA,1527,1
AC,Sena Madureira,1200500,1976,NA,NA,NA,NA,NA,4832,1
AC,Tarauacá,1200609,1976,NA,NA,NA,NA,NA,3752,1
AC,Xapuri,1200708,1976,NA,NA,NA,NA,NA,3583,1
AM,Anori,1300102,1976,1707,962,43,30,2742,4073,0
AM,Atalaia do Norte,1300201,1976,NA,NA,NA,NA,NA,578,1
AM,Autazes,1300300,1976,1704,1206,95,121,3126,6614,0
AM,Barcelos,1300409,1976,NA,NA,NA,NA,NA,1125,1
AM,Barreirinha,1300508,1976,1980,1016,101,61,3158,4012,0
AM,Benjamin Constant,1300607,1976,NA,NA,NA,NA,NA,2936,1
AM,Boca do Acre,1300706,1976,1774,606,26,56,2462,3417,0
AM,Borba,1300805,1976,2231,0,30,25,2286,3037,0
AM,Canutama,1300904,1976,929,0,5,4,938,1037,0
AM,Carauari,1301001,1976,568,471,7,8,1054,1429,0
AM,Careiro,1301100,1976,2865,1856,262,451,5434,11721,0
AM,Coari,1301209,1976,3577,2037,138,198,5950,8095,0
AM,Codajás,1301308,1976,1384,1253,31,19,2687,4106,0
AM,Eirunepé,1301407,1976,1295,566,10,49,1920,2510,0
AM,Envira,1301506,1976,620,0,8,11,639,769,0
AM,Fonte Boa,1301605,1976,1013,726,17,102,1858,3336,0
AM,Humaitá,1301704,1976,1888,608,68,77,2641,3501,0
AM,Ipixuna,1301803,1976,NA,NA,NA,NA,NA,636,1
AM,Itacoatiara,1301902,1976,6884,2966,273,397,10520,17154,0
AM,Itapiranga,1302009,1976,645,36,12,15,708,895,0
